Sector,P/E sector,Fuente,Fecha
Agro/real estate,16.0,Referencia propia S&P 500,2026-06-01
Bancos,18.0,Referencia propia S&P 500,2026-06-01
Cemento,22.0,Referencia propia S&P 500,2026-06-01
E-commerce/fintech,25.0,Referencia propia S&P 500,2026-06-01
Energía,17.0,Referencia propia S&P 500,2026-06-01
Energía/Utilities,17.0,Referencia propia S&P 500,2026-06-01
Gas/Utilities,17.0,Referencia propia S&P 500,2026-06-01
Real estate,17.0,Referencia propia S&P 500,2026-06-01
Telecom,22.0,Referencia propia S&P 500,2026-06-01
Utilities eléctricas,20.0,Referencia propia S&P 500,2026-06-01
